firstname,lastname,team,trueShooting,usage,assist,rebound,defensive,blocks
Randa,Liebermann,Gabon,69.83,77.93,18.06,1.56,12.39,91.07
Etta,Darrell,Tokelau,51.65,52.57,40.43,72.47,98.42,22.87
Dede,Longfellow,Bahamas,77.68,70.54,49.82,16.81,44.14,83.81
Siana,Blake,Slovakia,76.33,53.57,94.09,56.49,42.78,46.83
Marsiella,Lipson,Canada,7.53,79.11,83.41,25.29,58.17,67.46
Nadine,Juliet,Cocos (Keeling) Islands,31.23,65.81,44.69,74.87,100.94,82.72
Chrystel,Braun,Sierra Leone,62.55,44,53.69,58.29,70.86,50.2
Adriana,Olnee,Lebanon,47.3,45.92,91.27,76.07,86.7,60.26
Cissiee,Sheng,"Lao People""S Democratic Republic",93.5,81.05,23.22,54.88,58.3,35.99
Isa,Reidar,Mozambique,18.53,41.78,7.98,9.05,17.32,2.53
Shandie,Heidt,Cook Islands,58.81,42.47,50.17,13.05,44.3,51.29
Debee,Parsaye,Sweden,61.96,82.32,64.45,26.63,56.81,45.49
Bobbi,Gaynor,Poland,68.9,6.9,64.92,96.04,62.29,2.4
Merrie,Tayib,Uzbekistan,63.15,19.39,5.08,55.82,84.73,66.99
Romona,Lilybelle,Norfolk Island,96.82,51.61,45.68,24.2,75.88,85.84
Orelia,Imelida,Bahamas,12.17,68.84,65.38,65.91,99.68,2.21
Renae,Goth,Honduras,10.01,34.17,55.19,16.2,9.91,12.42
Jerry,Penelopa,"Lao People""S Democratic Republic",90.71,27.03,25.38,69.36,8.68,99.91
Ursulina,Carleen,Timor-Leste,37.16,59.87,44.96,75.94,15.13,28.4
Dawn,Phi,Botswana,6.21,25.2,83.99,37.83,69.86,23.09
Addia,Boehike,Hungary,26.87,47.93,45.75,9.47,71.59,84.24
Allyce,Dudley,Christmas Island,10.72,25.91,93.74,65.39,97.1,85.41
Ernesta,Elsinore,Turkmenistan,69.38,23.03,62.53,100.04,87.1,12.17
Valeda,Tyson,South Africa,24.73,88.71,59.87,1.23,20.42,67.64
Wynne,Wenoa,United Arab Emirates,87.67,76.64,54.9,29.68,98.14,19.12
Binny,Lorain,New Zealand,63.91,84.67,97.87,56.97,71.14,37.01
Inga,Rebecka,Luxembourg,50.04,39.7,47.71,64.67,27.19,20.26
Cyndie,Bach,AndorrA,97.95,20.02,7.25,39.73,79.26,4.69
Alex,Brunell,Ukraine,87.83,27.23,38.64,22.62,5.54,30.7
Christian,Carri,Lebanon,22.99,72.37,50.46,26.93,33.74,90.81
Harrietta,Anderea,Armenia,79.68,2.54,72.32,5.62,85.79,12.16
Jere,Phi,Eritrea,71.78,72.54,11.35,95.06,67.47,71.43
Clarice,Joni,Namibia,85.09,10.55,42.31,16.63,68.42,33.08
Chandra,Martguerita,"Palestinian Territory, Occupied",49.75,27.99,15.43,19.32,27.1,57.56
Marnia,Schlosser,RWANDA,69.07,37.4,55.08,95.52,66.02,97.21
Jennica,Madaih,Sudan,82.28,80.9,22.82,6.35,21.67,79.11
Noelle,Seumas,Egypt,98.74,59.81,66.3,84.21,95.31,68.52
Lynnea,Avi,"Congo, The Democratic Republic of the",85.39,58.87,65.46,67.87,50.62,26.18
Bee,Tayib,Timor-Leste,19.47,5.94,69.05,94.18,39.71,83.36
Valli,Cadmar,Cayman Islands,89.8,21.36,23.59,79.14,80.93,26.88
Anthia,Edmund,Western Sahara,61.35,13.93,66.02,84.53,79.81,66.53
Ermengarde,Mich,Burkina Faso,31.83,40.76,55.46,59.75,62.36,37.36
Tera,Orlene,Saint Helena,33.38,16.15,100.48,34.29,100.81,63.5
Kathi,Wyn,Gabon,93.45,18.63,94.28,81.83,54.23,83.51
Wileen,Sheedy,Finland,79.55,84.08,90.49,39.56,100.11,88.88
Sonni,Stoller,Botswana,3.13,18.34,11.93,36.22,85.31,25.66
Dominga,Vacuva,Aruba,32.74,14.73,38.2,62.02,37.12,42.04
Verla,Standing,Egypt,1.1,70.27,41.68,93.9,4.88,77.26
Regina,Teryn,"Macedonia, The Former Yugoslav Republic of",68.18,29.29,72.2,31.82,45.61,48.26
Jsandye,Bonilla,"Cote D""Ivoire",13.08,17.72,19.89,50.35,64.36,27.47
Sherrie,Sperling,Panama,93.8,6.21,55.95,86.02,99.82,76.22
Madelle,Ioab,Turkey,79.67,91.17,5.58,7.43,68.96,19.02
Vevay,Jalbert,"Palestinian Territory, Occupied",90.03,77.35,49.5,8.98,50.65,35.6
Elfreda,Wesle,Isle of Man,6.1,12.84,2.47,48.38,25.99,35.85
Flo,Rustice,Switzerland,98.32,47.59,68.12,76.11,61.84,40.63
Korrie,Ogren,RWANDA,74.34,96.76,83.53,24.06,66.4,98.56
Elmira,Sinegold,Senegal,77.04,14.62,56.41,30.81,84.64,57.22
Jemie,Stephie,Cameroon,27.85,72.33,93.39,84.85,32.02,64.61
Cherilyn,Amadas,Reunion,75.48,3.09,50.6,28.89,54.4,49.81
Tani,Bertold,French Polynesia,89.3,88.64,23.96,85.85,99.2,18.78
Karolina,Douglass,French Southern Territories,30.65,18.98,100.57,12,30.42,45.89
Malina,Bohlin,Wallis and Futuna,30.04,27.47,64.02,85.46,63.22,65.68
Augustine,Gahl,Kenya,84.27,100.04,17.34,32.69,88.82,85.86
Hettie,Hunfredo,Vanuatu,41.68,73.29,9.34,35.85,46.88,15.16
Shaylyn,Adore,Guyana,34.47,23.16,48.57,79.85,10.08,77.31
Lucille,Keily,Denmark,51.85,46.35,34.04,38.14,90.45,20.15
Edyth,Caitlin,Sudan,38.45,8.96,59.27,98.98,94.78,94.73
Raquela,Etom,Libyan Arab Jamahiriya,84.12,79.86,9,33,72.45,41.92
Eadie,Hazlett,Bangladesh,59.78,56.12,65.37,6.82,27.46,95.75
Blake,Krystle,Uruguay,66.11,31.75,12.88,49.13,41.45,68.47
Lacie,Kaja,Georgia,18.18,27.21,81.4,32.4,34.14,40.14
Jacenta,Judye,Tajikistan,89.26,95.37,46.37,53.8,63.32,68.66
Lenna,Hebner,Uganda,91.8,88.42,44.32,11.48,19.33,71.4
Daryl,Gwenore,Antigua and Barbuda,87.2,89.18,16.94,86.4,61.15,49.33
Benita,Belldas,Åland Islands,51.73,78.55,47.01,28.94,23.28,18.77
Kittie,Connelly,"Cote D""Ivoire",20.48,42,87.12,47.95,30.55,12.4
Jessy,Ashely,Bosnia and Herzegovina,55.77,81.01,74.01,75.02,88.7,63.5
Abbie,Wilkinson,Turkey,26.57,60.44,16.09,91.24,83.41,25.96
Dorene,Chapland,Kazakhstan,84.85,75.89,75.74,72.88,57.04,37.63
Rosanne,Howlyn,Uruguay,63.83,51.96,25.21,77.03,51.25,88.22
Elbertina,Evvie,Australia,28.09,21.87,64.47,51.27,71.3,50.93
Jillayne,Tillford,Pakistan,12.38,89.61,7.27,94.8,29.5,34.65
Talya,Deny,"Iran, Islamic Republic Of",21.52,4.92,10.61,72.17,49.98,56.37
Eolanda,Lutero,Tajikistan,22.57,42.03,33.76,9.15,20.01,9.98
Ariela,Sprage,Hungary,19.49,19.96,49.35,34.64,25.02,41.18
Tatiania,Sancho,Turkey,39.45,35.89,51.54,36.66,89.27,35.39
Gui,Sherrie,Pakistan,23.93,65.49,66.69,39.26,81.82,14.11
Malina,Chinua,Martinique,44.19,44.96,40.81,13.97,31.11,99.23
Belva,Wooster,El Salvador,64.83,90.69,96.7,67.46,81.19,28.19
Emylee,Chabot,Antarctica,35.18,62.79,100.35,99.32,19.86,41.62
Perry,Hieronymus,Algeria,93.39,61,84.76,31.74,21.14,92.05
Devina,Truc,Serbia and Montenegro,67.1,21.63,61.03,18.76,14.77,78.85
Annora,Ochs,Burkina Faso,87.38,76.25,23.88,50.98,87.31,17.7
Mariann,Salchunas,Japan,86.53,83.72,8.28,78.83,61.85,59.49
Gwenneth,Ade,Jamaica,20.8,43.27,34.49,6.31,26.91,33.74
Lanna,Chaing,Sri Lanka,62.07,14.16,66.95,52.21,52.47,62.86
Maryellen,Sekofski,Kuwait,20.58,74.85,55.85,5.85,60.24,60.52
Olivette,Carri,Brazil,40.62,10.2,81.39,55.57,87.23,59.84
Danika,Kylander,Dominican Republic,49.96,25.71,22.28,56.07,75.5,67.38
Kirstin,Armanda,Jordan,88.47,13.13,29.67,96.92,59.19,45.72
Jobi,Valerio,Mauritania,31.23,89.19,39.36,25.83,43.55,76.34
Beatriz,Eliathas,Liechtenstein,72.92,15.42,75.65,74.81,25.08,94.15
Britni,Papageno,Puerto Rico,6.09,81.55,88.16,76.99,44.04,33.61
Pamella,Morehouse,"Moldova, Republic of",16.91,40.81,65.99,38.55,37.8,94.7
Carilyn,Amadas,Bosnia and Herzegovina,59.35,2.11,4.26,89.92,95.15,84.38
Doro,Hortensia,Comoros,95.93,79.67,70.67,32.76,99.22,9.69
Lorne,Schalles,Timor-Leste,68.77,17.73,10.52,68.89,12.09,67.11
Correy,Clie,Switzerland,28.34,66.54,25.13,65.09,23.89,14.91
Melodie,Klemperer,Panama,65.91,49.47,95.77,21.6,65.73,41.94
Patricia,Miru,Holy See (Vatican City State),70.96,13.99,32.64,45.57,33.91,82.87
Allis,Vale,Algeria,90.35,5.28,19.22,35.23,76.87,52.48
Lorenza,Breed,Chad,64.08,10.78,94.12,43.68,27.63,18.19
Coral,Eckblad,RWANDA,49.3,7.14,33.69,69.9,9.19,13.62
Joelly,Horan,Kazakhstan,17.42,50.76,27.37,70.15,81.18,63.1
Marita,Tippets,American Samoa,61.67,61.37,21.82,81.16,78.61,42.6
Concettina,Yorick,Peru,31.43,39.07,56.32,89.33,85.41,54.31
Lusa,Fiester,Gabon,15.25,25.4,63.75,27.68,21.57,71.85
Gloria,Olympium,Serbia and Montenegro,9.4,29.71,64.47,53.8,83.96,9.5
Tersina,Henebry,Nauru,94.98,30.92,81.82,48.26,59.5,12.41
Lanna,Pierette,Mexico,38.65,87.67,85.86,66.11,99.14,91.13
Sharai,Wilkinson,Saudi Arabia,57.5,75.13,47.17,88.13,39.48,33.5
Merle,Seligman,Tunisia,40.24,42.89,90.25,54.83,31.63,39.48
Wileen,Adamsen,Colombia,37.62,76.62,60.24,37.95,24.13,9.84
Vonny,Bord,Nicaragua,87.69,76.94,23.87,54.39,3.8,39.24
Mireielle,Palocz,Georgia,98.38,72.82,7.14,40.66,44.29,46.8
Gloria,Etom,Comoros,65.18,89.34,13.9,36.79,19.9,44.92
Roxane,Orelee,Madagascar,10.53,42.65,48.71,70.05,63.23,66.81
Calla,Colbert,Trinidad and Tobago,28.96,16.06,55.74,75.59,32.13,73.15
Quintina,Ovid,Turks and Caicos Islands,64.72,48.67,51.87,67.98,100.52,1.67
Clarice,Adrienne,Cook Islands,6.16,42.59,9.54,29.23,96.38,96.24
Mathilda,Pitt,Gibraltar,71.33,67.15,1.82,91.32,27.6,19.52
Ericka,Romelda,Portugal,95.97,81.36,57.35,61.13,87.24,100.93
Dominga,Wenoa,Austria,38.06,19.21,55.53,21.77,91.41,18.39
Sean,Susannah,Estonia,99.85,9.97,4.72,16.46,47.61,83.62
Liana,Gaal,Saudi Arabia,55.61,75.43,87.79,87.31,90.73,67.85
Estell,Lauraine,Puerto Rico,62.51,28.98,55,86.9,20.71,66.98
Jean,Demitria,Albania,23.33,40.9,13.69,3.18,17.02,96.1
Cherrita,Yuille,Heard Island and Mcdonald Islands,100.95,12.29,81.72,73.15,96.5,70.57
Christal,Lutero,Latvia,65.45,95.45,82.32,90.28,100.4,68.57
Jackie,Rosemary,Tokelau,87.71,5.77,9.5,60.7,79.94,16.8
Amelia,Persse,Falkland Islands (Malvinas),75.8,60.83,25.91,67.45,95.22,43.44
Rhoda,Georas,Liechtenstein,84.52,72.22,58.61,1.19,43.03,92.74
Paule,Chem,Finland,87.36,37.06,3.55,99.96,45.15,74.67
Janis,Rustice,Antigua and Barbuda,20.11,59.76,42.24,81.29,10.31,2.58
Beatriz,Wesle,Maldives,40.54,85.36,24.73,63.32,97.52,49.48
Bernie,Crudden,Anguilla,52.21,60.35,89.38,33.12,48.24,77.23
Ronna,Sundin,Cape Verde,64.18,76.62,1.52,31.23,13.79,58.84
Konstance,Bonilla,France,90.42,7.16,58.46,78.42,76.49,93.1
Glynnis,Sigfrid,United Kingdom,75.22,89.18,13.13,85.59,16.24,5.95
Janey,Delp,Uzbekistan,31.71,75.12,27.24,9.36,73.91,3.51
Angela,Glovsky,Mexico,64.83,87.23,13.56,93.18,13.64,62.14
Bee,Ax,Fiji,28.45,59.16,1.54,63.07,40.08,1.8
Lisette,Pyle,Thailand,6.11,97.67,86.64,63.97,98.48,33.28
Wileen,Deegan,Guernsey,35.77,67.8,40.15,60.27,21.69,3.89
June,Sawtelle,Macao,22.44,80.49,51.31,41.46,3.46,95.32
Heida,Annabella,Saint Vincent and the Grenadines,52.22,32.37,93.09,15.39,87.18,89.99
Fanchon,Bandeen,Sudan,78.26,11.16,8.06,15.75,36.67,32.19
Tatiania,Center,French Polynesia,80.06,55.49,16.45,63.39,46.71,80.64
Beth,Jacinda,Mauritius,1.6,82.24,22.8,79.19,48.39,8.62
Dulcinea,Ardra,Uganda,21.26,91.46,96.5,51.4,84.44,59.35
Albertina,Marijo,Bolivia,54.98,70.94,58.96,54.92,67.29,76.93
Emylee,Cherianne,Costa Rica,61.73,75.49,49.49,58.36,94.61,38.78
Julieta,Zrike,Botswana,91.62,37.16,95.23,93.73,60.44,60.59
Gwenneth,Nunci,Cuba,31.01,72.62,33.64,53.57,30.71,93.59
Philis,Daveta,Guadeloupe,20.43,43.1,98.15,54.36,80.22,77.77
Cam,Shirberg,Christmas Island,70.51,87.41,46.31,28.35,63.75,85.78
Roxane,Bigner,French Southern Territories,84.06,91.32,55.13,48.1,75.56,33.99
Hettie,Thema,Reunion,65.13,8.19,79.16,18.15,24.68,34.73
Deirdre,Celestine,Niger,29.36,50.48,67.41,64.97,94.1,48.48
Odessa,Nickola,Zambia,31.37,13.49,56.86,62.12,59.22,3.36
Gerrie,Malina,Congo,79.09,17.66,100.33,49.35,8.2,23.3
Donetta,Danby,French Guiana,89.46,36.56,51.43,80.3,5,59.67
Chloris,Gamaliel,Uruguay,69.43,50.04,8.38,16.59,98.83,61.59
Gwenneth,Colyer,American Samoa,19.15,40.53,40.3,55,86.17,45.81
Tina,Kinnard,Ethiopia,45.03,29.74,59.49,73.22,14.28,62.39
Sashenka,Modie,United Kingdom,42.7,81.59,76.8,77.04,5.53,76.67
Lauryn,Ursulette,Thailand,22.12,55.68,22.59,8.48,97.54,92.16
Babita,Gualtiero,Malaysia,60.58,68,8.12,61.09,92.91,38.96
Shannah,Modie,Ukraine,77.21,55.52,60.39,90.16,93.99,23.49
Bernardine,Reinke,Nicaragua,87.18,74.12,68.6,75.41,100.72,11.3
Jenilee,Ephrem,Netherlands,61.71,90.38,57.94,32.59,51.2,85.24
Genovera,Dosia,Austria,15.58,23.89,9.67,73.91,2.63,12.31
Randa,MacIntosh,Lesotho,2.63,77.39,66.34,11.4,95.63,12.58
Joelly,Joli,Nauru,22.25,20.48,95.05,41.1,38.81,15.25
Caressa,Vale,Indonesia,52.04,77.45,90.74,18.32,63.1,24.84
Sallie,Bates,Eritrea,83.61,31.14,50.85,37.19,36.26,82.9
Gwenneth,Maples,Burundi,8.8,45.44,88.42,32.68,63.37,63.84
Briney,Holbrook,Christmas Island,94.65,63.05,72.15,31.57,1.92,95.36
Orsola,Nickola,Latvia,37.11,43.42,44.89,54.24,31.15,22.62
Aimil,Robertson,Mozambique,54.09,33.83,72.52,92.63,25.89,2
Chastity,Artie,Saint Kitts and Nevis,57.51,77.93,57.18,8.83,83.11,71.43
Jean,Loring,"Taiwan, Province of China",9.02,29.91,57.61,98.6,52.8,90.01
Emma,Elephus,Åland Islands,45.04,24.37,21.11,40.97,62,96.83
Donetta,Kristi,"Iran, Islamic Republic Of",39.42,91.16,53.34,7.19,78.7,17.32
Althea,Janene,Philippines,40.61,51.27,69.84,50.57,91.48,69.36
Gilligan,Leopold,Vanuatu,28.32,52.31,64.8,7.32,42.56,70.87
Phedra,Mauer,Mali,41.12,48.19,37.56,93.89,55.87,48.58
Kathi,Callista,Cook Islands,11.04,21.46,65.1,6.74,45.85,59.7
Ginnie,Gladstone,Honduras,12.56,11.43,34.76,61.3,26.2,89.66
Letizia,Abernon,Bangladesh,87.17,19.58,33.66,59.75,94.87,30.94
Mignon,Jacobah,Hungary,90.68,42.73,1.63,58.73,86.66,64.53
Gusella,Urania,Sweden,88.64,56.85,84.53,49.15,70.15,52.47
Ayn,Rudolph,Nepal,34.91,99.88,36.68,94.46,57.83,3.61
Keelia,Koziara,French Guiana,11.94,85.55,35.63,62.57,22.03,16.06
Tera,Tannie,Sao Tome and Principe,68.72,16.07,67.81,25.15,73.71,89.4
Marti,Paton,Puerto Rico,88.39,56.97,30.21,28.95,100.34,27.08
Mara,Lucienne,Sierra Leone,50.6,47.09,30.74,28.01,44.99,90.89
Taffy,Grosz,Guyana,12.41,40.05,88.82,36.58,77.52,62.91
Brietta,August,"Korea, Democratic People""S Republic of",52.16,90.87,76.6,54.42,46.29,1.22
Gilda,Honoria,Costa Rica,49.24,82.87,51.55,70.61,46.86,57.58
Celestyna,Lasley,Marshall Islands,44.95,66.64,82.78,51.31,60.83,22.63
Regina,Birdella,Spain,27.28,29.17,69.16,27.29,50.46,99.7
Dari,Reinke,Saudi Arabia,81.1,55.28,90.36,69.02,28.54,44.16
Tonia,Sammons,"Korea, Republic of",60.93,6.55,58.27,53.05,79.91,70.91
Sam,Audly,Panama,22.72,3.11,90.95,81.18,37.07,96.53
Jacquetta,Margarete,Slovakia,100.33,33.72,84.28,70.21,85.8,78.37
Caryl,Hortensia,Åland Islands,76.84,42.85,40.77,83,67.59,84.17
Claresta,Hull,Myanmar,45.66,44.86,60.54,60.79,55.68,69.42
Tressa,Teddman,Bouvet Island,59.49,12.9,99.96,47.27,85.29,46.54
Roberta,Delila,Congo,25.99,16.86,36.48,18.49,94.13,75.61
Consuela,Trinetta,Cocos (Keeling) Islands,41.78,38.21,43.38,43.53,11.2,9.53
Gabriellia,Cottle,Marshall Islands,83.63,66.9,35.42,100.82,35,83.9
Aurelie,Ariella,British Indian Ocean Territory,39.25,4.48,56.34,21.96,15.1,34.46
Carly,Gordon,Poland,1.67,79.73,95.19,94.35,65.38,38.4
Meg,Screens,Malaysia,41.56,90.52,52.28,33.03,53.89,74.8
Andeee,Orlene,Guam,19.97,63.87,8.48,26.89,100.39,46.43
Margalo,Mehalek,Brazil,91.76,84.35,11.75,27.98,36.11,47.04
Adriana,Lail,Croatia,95.8,90.95,41.66,76.03,76.65,49.46
Marika,Laurianne,Togo,46.42,98.31,21.84,36.22,68.21,96.39
Karena,Joni,Sweden,36.59,90.09,58.54,59.2,15.3,67.29
Magdalena,Whittaker,Serbia and Montenegro,30.26,83.55,43.35,78.24,4.96,49.42
Inga,Howlyn,Cape Verde,97.99,78.2,64.87,30.82,3.1,48.02
Layla,Ricarda,French Southern Territories,95.32,41.83,9.37,2.39,79.58,87.35
Patricia,Korey,Estonia,7.84,59.53,82.36,9.91,49.38,52.57
Talya,Adamsen,South Africa,95.94,30.94,9.08,93.34,7.29,86.24
Pollyanna,Genna,Mauritania,47.71,56.75,91.58,27.07,77.94,9.22
Asia,Teddman,United States,54.86,29.19,39.55,80.24,39.82,68.33
Lily,Chandler,San Marino,71,34.85,10.85,29.88,2.5,42.62
Cassondra,Old,Mongolia,6.3,85.22,35.83,10.52,39.52,25.08
Dorothy,Glenden,"Micronesia, Federated States of",54.52,88.27,66.56,55.15,92.47,23.9
Phedra,Adrienne,Mayotte,37.41,76.49,79.74,49.5,90.74,28.3
Katleen,Abbot,Mali,70.48,79.52,87.35,74.11,87.65,80.92
Leona,Jeanne,Sudan,81.85,24.45,82.39,63.74,54.23,82.56
Edee,Nea,Dominican Republic,37.05,41.11,59.44,31.83,84.62,47.11
Zondra,Pierette,French Polynesia,92.17,38.95,48.91,92.27,67.95,14.61
Binny,Hedve,Poland,54.37,49.3,18.07,18.69,51.75,41.27
Reeba,Kat,Guadeloupe,92.43,76.03,93.05,90.1,6.11,95.02
Leeanne,Ellerey,Norway,14.76,45.22,41.57,91.7,62.34,26.18
Eadie,Reneta,Qatar,40.56,38.79,80.38,66.55,58.65,43.84
Nariko,Honoria,Timor-Leste,45.54,39.95,38.71,84.37,40.04,93.44
Lenna,Cullin,Brunei Darussalam,52.09,31.32,40.14,54.15,37.56,22.97
Wilma,Berne,Gambia,1.73,56.71,64.35,6.95,57.8,10.95
Elka,Pattin,Azerbaijan,93.47,56.11,64.04,69.05,46.05,47.48
Aubrie,Lareena,Turkmenistan,72.56,46.27,57.3,87.28,91.71,68.05
Annecorinne,Juan,Chad,22.56,93.5,39.17,52.8,8.47,25.69
Catharine,Cynar,Romania,8.43,1.01,13.22,56.56,85.33,9.16
Farrah,Grosz,Marshall Islands,3.13,15.06,87.37,94.98,20.08,82.29
Anallese,Lubin,Kenya,29.25,45.1,95.01,76.99,70.97,17.51
Anestassia,Drisko,Mali,74.77,20.47,76.64,23.33,16.92,85.28
Benita,Cressida,Barbados,19.37,51.29,13.39,98.93,52.31,38.91
Mildrid,McLaughlin,Venezuela,52.65,37.89,70.29,13.65,45.48,98.83
Dione,Arquit,Netherlands,92.22,75.77,89.46,92.16,11.1,43.39
Imojean,Docilla,Heard Island and Mcdonald Islands,77.94,62.18,87.32,73.54,94.22,86.76
Edith,Bow,"Iran, Islamic Republic Of",81.82,3.73,66.08,92.98,23.61,42
Andree,Revkah,Swaziland,14.15,2.63,22.86,10.02,27.69,25.36
Brena,Sasnett,Albania,84.85,19.69,68.25,42.71,1.94,10.95
Joy,Etom,Mauritius,38.07,49.3,31.28,69.9,21.12,70.08
Darlleen,Manolo,Cook Islands,77.69,91.19,10.36,33.02,98.18,56.43
Merry,Dituri,Antigua and Barbuda,85.33,43.28,35.59,4.69,49.6,25.66
Jeanna,Huggins,Guyana,58.23,16.45,22.76,79.37,29.47,22.36
Lusa,Vharat,Maldives,63.78,13.49,42.57,20.94,44.17,67.33
Sissy,Shelba,United States Minor Outlying Islands,5.71,27.45,84.85,18.16,89.63,25.82
Almeta,Marcellus,Martinique,36.88,4.1,42.74,92.51,6.55,24.28
Eve,Odell,Sweden,41.48,88.78,65.55,75.91,40.04,50.45
Aryn,Latini,Central African Republic,83.14,15.03,93.97,34.53,90.46,66.64
Sashenka,Bonilla,Switzerland,55.33,83.19,58.7,51.59,36.88,27.69
Blinni,Wiener,Sweden,99.35,65.64,93.3,7.21,51.2,94.02
Jenda,Carvey,Togo,26.38,76.91,56.2,9.71,50.44,1.67
Ursulina,Primalia,United Kingdom,43.67,50.2,9.38,32.48,56.49,2.43
Sibella,Ursulette,Burundi,4.62,74.78,1.96,60.73,7.47,82.09
Beth,Yerkovich,Svalbard and Jan Mayen,85.68,18.95,85.89,77.55,56.16,92.2
Lynea,Paine,Norfolk Island,98.74,21.71,82.48,58.4,50.07,69.74
Fanchon,Dearborn,"Macedonia, The Former Yugoslav Republic of",27.49,25.09,19.19,59.37,13.98,77.41
Jordan,Lenny,Croatia,100.6,68.54,5.93,80.31,39.87,24.67
Bobbi,Paton,British Indian Ocean Territory,64.57,18.14,24.92,47.99,10.8,77.71
Suzette,Tound,Nepal,43.74,20.45,64.6,41.91,7.51,96.27
Daphne,Ursulette,Kuwait,25.97,87,34.74,80.46,33,66.77
Jemie,Noam,Holy See (Vatican City State),84.12,48.2,51.45,57.59,2.81,26.9
Justinn,Claudine,Djibouti,51.58,71.26,23.7,25.59,36.35,96.49
Blake,Publia,South Africa,4.38,8.32,96.65,13.39,68.16,98.64
Elora,Letsou,Austria,30.46,10.99,24.39,65.99,76.69,6.64
Leona,Arley,"Palestinian Territory, Occupied",56,69.84,79.64,31.32,49.32,91.33
Gratia,Kirbee,Zimbabwe,49.83,32.65,81.18,23.59,32.61,58.71
Xylina,Alexandr,Uruguay,12.85,92.3,57.19,2.39,83.66,27.34
Ninnetta,Fiester,Greenland,27.81,75.02,14.57,16.79,57.8,5.98
Miquela,Lasley,Jersey,60.83,16.73,80.07,93.74,99.11,13.7
Helsa,Artie,Togo,6.18,59.89,93.28,12.44,96.06,20.99
Philis,Sibyls,Austria,18.56,87.96,69.13,20.51,70.64,13.75
Ivett,Dorcy,Bangladesh,62.34,63.27,50.46,37.02,31.35,27.82
Gilda,Kylander,Lebanon,14.51,59.71,27.47,16.38,39.96,24.43
Frieda,Morehouse,Solomon Islands,83.71,29.52,47.15,63.76,3.13,50.2
Carree,Reinke,United States Minor Outlying Islands,70.64,53.35,79.56,84.31,68.3,89.71
Gilligan,Yusuk,Samoa,32.7,11.77,74.57,80.85,82.95,75.42
Tami,Baylor,French Guiana,70.39,90.88,39.77,60.51,72.71,39.3
Marline,Lipson,Norfolk Island,61.35,63.2,92.22,72.72,47.67,45.23
Brooks,Yusuk,Hungary,61.93,70.78,65.74,3.09,31.09,27.59
Laurene,Bebe,Nigeria,36.42,67.67,91.46,10.34,52.11,40.84
Bertine,Dorine,Sudan,8.38,100.78,22.62,23.99,88.92,83.96
Darlleen,Lipson,Spain,78.73,44.49,49.69,48.12,47.14,94.25
Berta,Agle,Central African Republic,99.28,83.98,6.68,34.24,31.47,3.37
Brooks,Emmaline,Cook Islands,9,16.14,16.42,6.33,93.14,45.22
Christian,Sharl,Azerbaijan,76.02,39.98,30.24,50.11,3.87,61.7
Trudie,Latini,Norway,87.35,12.58,88.22,31.61,50.12,73.84
Nadine,Erlandson,Yemen,58.49,15.5,23.63,4.85,45.87,87.08
